Brockville,"Brockville, ON",XBR,44.5833333,-75.683333,America/Montreal
Brussels,"Brussels Airport, Belgium (BRU)",BRU,50.9013889,4.48444444,Europe/Brussels
Bucharest,"Bucharest Baneasa - Aurel Vlaicu, Romania (BBU)",BBU,44.5033333,26.1022222,Europe/Bucharest
Bucharest,"Bucharest Henri Coanda, Romania (OTP)",OTP,44.5722222,26.1022222,Europe/Bucharest
Budapest,"Budapest Liszt Ferenc International, Hungary (BUD)",BUD,47.4369444,19.2555556,Europe/Budapest
Buenos Aires,"Buenos Aires Ministro Pistarini, Argentina (EZE)",EZE,-34.822222,-58.535833,America/Argentina/Buenos_Aires
Buffalo,"Buffalo Niagara International, NY (BUF)",BUF,42.9405556,-78.732222,America/New_York
Burbank,"Burbank Bob Hope, CA (BUR)",BUR,34.2005556,-118.35861,America/Los_Angeles
Bourgas,"Burgas, Bulgaria (BOJ)",BOJ,42.5697222,27.5152778,Europe/Sofia
Burlington,"Burlington International, VT (BTV)",BTV,44.4719444,-73.153333,America/New_York
Cagliari,"Cagliari Elmas, Italy (CAG)",CAG,39.2472222,9.05611111,Europe/Rome
Cairns,"Cairns, Australia (CNS)",CNS,-16.885833,145.755278,Australia/Brisbane
Cairo,"Cairo International, Egypt (CAI)",CAI,30.1219444,31.4055556,Africa/Cairo
Calgary,"Calgary International, AB",YYC,51.1138889,-114.02028,America/Edmonton
Cali,"Cali Alfonso B. Aragon, Colombia (CLO)",CLO,3.54333333,-76.381667,America/Bogota
Calvi,"Calvi Ste Catherine, France (CLY)",CLY,42.5202778,8.79305556,Europe/Paris
Campo Grande,"Campo Grande Internacional, Brazil (CGR)",CGR,-20.468611,-54.6725,America/Cuiaba
Cancun,"Cancun, Mexico (CUN)",CUN,21.0366667,-86.877222,America/Cancun
Cape Town,"Cape Town International, South Africa (CPT)",CPT,-33.964722,18.6016667,Africa/Johannesburg
Caracas,"Caracas Simon Bolivar, Venezuela (CCS)",CCS,10.6030556,-66.990556,America/Caracas
Cardiff,"Cardiff, United Kingdom (CWL)",CWL,51.3966667,-3.3433333,Europe/London
La Romana,"Casa de Campo La Romana, Dominican Republic (LRM)",LRM,18.4508333,-68.911944,America/Santo_Domingo
